org_code,district,district_type,grade_level,county,enrolled,econ_disadvantaged,percent_white,percent_black,percent_hispanic,meets_expectations_ELA,meets_expectations_math,percent_grads_attending_college,avg_SAT_score,percent_graduating_4_yrs,FTE_teachers_per_100_students,avg_teacher_salary,teacher_retention,dollars_per_student,ch_70_aid_per_student
880000,Easton,Municipal,K12,Bristol,3632,0.129,0.816,0.062,0.055,0.63,0.66,0.884,1144,0.964,7.436674009,77666.41255,0.928,13280,2773.178956
1980000,Natick,Municipal,K12,Middlesex,5540,0.091,0.756,0.027,0.06,0.64,0.64,0.85,1168,0.975,7.50801444,77041.69076,0.887,15331,1777.349172
940000,Fairhaven,Municipal,K12,Bristol,2025,0.281,0.863,0.022,0.055,0.53,0.48,0.777,1125,0.94,7.341185185,71475.68916,0.932,11986,4301.725166
950000,Fall River,Municipal,K12,Bristol,10120,0.671,0.513,0.084,0.275,0.34,0.3,0.512,933,0.711,7.258300395,65613.6086,0.787,14628,10121.74655
960000,Falmouth,Municipal,K12,Barnstable,3351,0.284,0.795,0.048,0.062,0.58,0.53,0.724,1122,0.841,8.613846613,78361.59413,0.895,17560,1949.773918
970000,Fitchburg,Municipal,K12,Worcester,5362,0.609,0.296,0.065,0.518,0.32,0.25,0.43,956,0.764,6.924020888,73235.2093,0.867,13488,9030.124698
990000,Foxborough,Municipal,K12,Norfolk,2553,0.154,0.821,0.048,0.054,0.51,0.63,0.853,1127,0.955,8.03262828,87537.44321,0.93,16640,3376.457078
3260000,Westford,Municipal,K12,Middlesex,5069,0.052,0.666,0.009,0.018,0.74,0.77,0.912,1232,0.98,7.185125271,88694.22143,0.928,14004,3504.146568
1010000,Franklin,Municipal,K12,Norfolk,5198,0.097,0.862,0.019,0.034,0.66,0.63,0.838,1145,0.971,7.512524048,74203.51294,0.888,13495,4972.519099
1030000,Gardner,Municipal,K12,Worcester,2290,0.531,0.669,0.027,0.205,0.26,0.25,0.698,1032,0.825,7.778471616,64720.74102,0.849,13180,7852.390127
560000,Chelmsford,Municipal,K12,Middlesex,4961,0.122,0.728,0.031,0.057,0.67,0.61,0.889,1159,0.929,7.4827051,78670.76724,0.91,13724,2168.658814
2740000,Somerville,Municipal,K12,Middlesex,4909,0.392,0.381,0.099,0.414,0.49,0.45,0.662,1022,0.837,8.569158688,82290.8691,0.871,19236,3851.653657
1100000,Grafton,Municipal,K12,Worcester,3173,0.118,0.783,0.016,0.046,0.64,0.6,0.832,1153,0.968,7.368200441,71230.03182,0.908,12328,3537.371548
