Org_Code,District,District_Type,Grade_Level,Single_School_District,County,Enrolled,Econ_disadv,Students_with_disabilities,English_learners,Five_Yr_change_in_enroll,Ten_Yr_change_in_enroll,Student_mobility,Choice_in_percent_of_enrolled,ELA_meet_exceed_expectations,Math_meet_exceed_expectations,ELA_student_growth_percentile,Math_student_growth_percentile,FTE_tchrs_per_100_students,Av_tchr_salary,Teacher_retention,Funds_per_indistrict_pupil,Foundation_enroll,Above_Below_req_net_school_spending,Combined_effort_yield_as_percent_of_foundation_budget,Ch_70_aid_per_pupil
04490000,Boston Collegiate,CharterC,,Single,,693,28.4,18.2,4.0,--,--,8.5,0.0,44.0,43.0,53.5,58.4,8.9,,79.4,0,,,0,--
04500000,Hilltown Cooperative,CharterC,Elementary,Single,,217,15.2,18.9,0.0,--,--,0.5,0.0,60.0,56.0,53.6,49.6,9.0,,82.6,0,,,0,--
04520000,Edward M. Kennedy Academy (HMCS),CharterHM,,Single,,383,55.1,16.7,17.2,--,--,8.3,0.0,,,,,10.4,,82.1,0,,,0,--
04530000,Holyoke Community Charter,CharterC,Elementary,Single,,704,68.0,19.2,15.1,--,--,8.0,0.0,36.0,22.0,54.9,52.7,7.4,,65.4,0,,,0,--
04540000,Lawrence Family Development,CharterC,Elementary,Single,,760,54.7,7.6,28.0,--,--,1.5,0.0,64.0,59.0,49.8,50.4,8.1,,75.0,0,,,0,--
04550000,Hill View Montessori,CharterC,Elementary,Single,,304,16.8,16.4,10.9,--,--,6.2,0.0,45.0,23.0,50.4,42.0,7.2,,68.0,0,,,0,--
04560000,Lowell Community Charter,CharterC,Elementary,Single,,820,46.6,17.1,53.9,--,--,5.1,0.0,53.0,54.0,51.1,53.9,7.8,,78.1,0,,,0,--
04580000,Lowell Middlesex Academy,CharterC,Secondary,Single,,82,58.5,28.0,9.8,--,--,56.9,0.0,,,,,11.0,,91.7,0,,,0,--
04630000,KIPP Academy Boston,CharterC,Elementary,Single,,594,63.3,20.4,27.8,--,--,11.2,0.0,34.0,32.0,62.3,60.9,6.3,,50.9,0,,,0,--
04640000,Marblehead Community,CharterC,Elementary,Single,,226,11.9,25.2,1.3,--,--,5.1,0.0,58.0,60.0,43.0,51.5,10.4,,86.4,0,,,0,--
04660000,Martha's Vineyard Charter,CharterC,K12,Single,,182,29.1,23.1,4.4,--,--,2.2,0.0,43.0,29.0,56.4,42.3,9.2,,95.2,0,,,0,--
04680000,MA Academy for Math and Science,Independent,Secondary,Single,,98,2.0,0.0,0.0,--,--,1.0,0.0,,,,,6.1,,100.0,0,,,0,--
04690000,MATCH,CharterC,K12,Single,,"1218",58.7,22.7,26.8,--,--,9.3,0.0,43.0,39.0,57.9,48.5,8.5,,59.8,0,,,0,--
04700000,Mystic Valley,CharterC,K12,Single,,"1575",19.1,12.4,2.3,--,--,4.2,0.0,61.0,56.0,50.9,46.8,6.4,,54.9,0,,,0,--
04740000,Sizer School,CharterC,Secondary,Single,,369,35.0,24.7,1.4,--,--,16.1,0.0,47.0,23.0,58.4,36.4,10.9,,61.9,0,,,0,--
04780000,Francis W. Parker Charter Essential,CharterC,Secondary,Single,,397,7.1,13.9,0.0,--,--,4.7,0.0,63.0,59.0,42.8,35.6,11.7,,73.5,0,,,0,--
04790000,Pioneer Valley Performing Arts,CharterC,Secondary,Single,,400,24.5,20.5,0.5,--,--,7.7,0.0,62.0,49.0,56.9,51.2,11.8,,74.5,0,,,0,--
04800000,UP Academy Boston,CharterC,Secondary,Single,,517,67.3,19.5,29.4,--,--,22.4,0.0,28.0,34.0,51.7,58.1,8.6,,62.8,0,,,0,--
